scenario_id,review_priority_score,outcome,scenario_family,baseline_action,laya_action,laya_confidence,sim_terminal_outcome,major_safety_violation,hazard_severity_score,route_blocked,nearest_iceberg_dist_m,adjudication_reasons
POLARIS_SCENARIO_0008,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4702.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.3 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0028,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4332.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.2 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0048,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4119.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.5 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0068,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4626.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.6 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0088,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4016.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.6 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0108,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4618.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.2 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0128,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,2396.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.8 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0148,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,3512.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.4 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0168,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4944.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.6 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
POLARIS_SCENARIO_0188,100.0,HUMAN_REVIEW_REQUIRED,HEAVY_ICE_POOR_VISIBILITY,hold_position,slow_down,0.5,EMERGENCY_HOLD,False,1.6,False,4831.0,Baseline (hold_position) disagrees with Laya (slow_down); High-consequence maneuver category (hold_position) requiring human review; Low Laya decision confidence (50.0% < 60%); High hazard severity score (1.6 >= 1.5); Poor visibility / fog conditions (0.4 NM < 1.0 NM); High-consequence action 'hold_position' mandates human watch officer review.
